ensembl_gene_id	external_gene_name	entrezgene_id
ENSG00000278306	KIR2DS3	3808
ENSG00000276779	KIR2DL4	3805
ENSG00000278614	KIR2DP1	
ENSG00000277334	NCR1	9437
ENSG00000275407	KIR2DL2	3803
ENSG00000278731	KIR2DL2	3803
ENSG00000278074	KIR2DL4	3805
ENSG00000275699	KIR2DL4	3805
ENSG00000275511	KIR3DL2	3812
ENSG00000276433	KIR3DL3	115653
ENSG00000277272	KIR3DL1	3811
ENSG00000275732	KIR2DL4	3805
ENSG00000278430	KIR2DL4	3805
ENSG00000275786	KIR3DL1	3811
ENSG00000278805	KIR2DL1	3802
ENSG00000273575	KIR2DL4	3805
ENSG00000277620	KIR3DL3	115653
ENSG00000277995		
ENSG00000277345	KIR2DS4	3809
ENSG00000275751	KIR3DP1	
ENSG00000276424	KIR3DL2	3812
ENSG00000275237	KIR2DL4	3805
ENSG00000276858	FCAR	2204
ENSG00000277044	OPRL1	4987
ENSG00000276423	KIR3DL1	3811
ENSG00000277339	NPBWR2	2832
ENSG00000275717	KIR3DL1	3811
ENSG00000280695		
ENSG00000277070	LILRP1	
ENSG00000277742	KIR3DP1	
ENSG00000276676	KIR2DS5	3810
ENSG00000275938	KIR2DS4	3809
ENSG00000277616	KIR2DL1	3802
ENSG00000277376	KIR2DP1	
ENSG00000276518	KIR3DP1	
ENSG00000277317	KIR2DL3	3804
ENSG00000274861	LILRP2	79166
ENSG00000276258	KIR2DS2	100132285
ENSG00000276974		
ENSG00000278152	KIR2DS2	100132285
ENSG00000276876	MYT1	4661
ENSG00000278325	LILRP1	
ENSG00000276930	KIR3DL3	115653
ENSG00000278786	KIR3DP1	
ENSG00000275946	KIR2DL5B	553128
ENSG00000274189	KIR2DL4	3805
ENSG00000274948	KIR3DL1	3811
ENSG00000274339	LILRP1	
ENSG00000273775	KIR3DL1	3811
ENSG00000277267	LILRP2	79166
ENSG00000273510	KIR2DL1	3802
ENSG00000276501	KIR3DL1	3811
ENSG00000276534	KIR3DS1	3813
ENSG00000275422		
ENSG00000275914	KIR2DL2	3803
ENSG00000277176	KIR3DP1	
ENSG00000277185		
ENSG00000276044	KIR2DL4	3805
ENSG00000278207	KIR2DL1	3802
ENSG00000276329	KIR3DL1	3811
ENSG00000277251	KIR2DL2	3803
ENSG00000276379	KIR3DL1	3811
ENSG00000275442	LILRP2	79166
ENSG00000275288	KIR3DL1	3811
ENSG00000278704		
ENSG00000277725	KIR2DL2	3803
ENSG00000274722	KIR3DL2	3812
ENSG00000277484	KIR2DL3	3804
ENSG00000276328	KIR3DL3	115653
ENSG00000275848	KIR2DL4	3805
ENSG00000277650	KIR2DS5	3810
ENSG00000273526	KIR2DS4	3809
ENSG00000273661	KIR2DL2	3803
ENSG00000275433	KIR3DL3	115653
ENSG00000274271	LILRP1	
ENSG00000274676	KIR2DL5A	57292
ENSG00000276086	KIR3DL3	115653
ENSG00000273738	FCAR	2204
ENSG00000277835	KIR3DP1	
ENSG00000276985	FCAR	2204
ENSG00000275306	KIR2DS1	3806
ENSG00000278403	KIR3DL2	3812
ENSG00000277078	KIR2DS4	3809
ENSG00000274830	KIR2DL3	3804
ENSG00000275112	LILRP1	
ENSG00000274518	KIR2DS2	100132285
ENSG00000275659	KIR3DL1	3811
ENSG00000276013		
ENSG00000276004	KIR3DL2	3812
ENSG00000278427	KIR3DL1	3811
ENSG00000274945	KIR2DL4	3805
ENSG00000274193	KIR2DL4	3805
ENSG00000278755	KIR2DL1	3802
ENSG00000274724	KIR3DL3	115653
ENSG00000274163	KIR3DP1	
ENSG00000274842	LILRP2	79166
ENSG00000276307	LILRP1	
ENSG00000273883	LILRP2	79166
ENSG00000277355	KIR2DL4	3805
ENSG00000278345		
ENSG00000275436	KIR2DL5B	553128
ENSG00000274406	KIR2DS4	3809
ENSG00000275080	KIR2DL1	3802
ENSG00000278821	KIR2DL1	3802
ENSG00000275276	KIR2DL1	3802
ENSG00000276035	KIR3DP1	
ENSG00000273603	KIR2DS1	3806
ENSG00000276001	LILRP1	
ENSG00000277964	KIR2DL4	3805
ENSG00000276247	LILRP2	79166
ENSG00000275596	KIR2DL5A	57292
ENSG00000275018		
ENSG00000274480	KIR3DL3	115653
ENSG00000273922	LILRP2	79166
ENSG00000274243	KIR2DS5	3810
ENSG00000273522	KIR2DP1	
ENSG00000278414	KIR2DL5B	553128
ENSG00000277551	U6	
ENSG00000274920	KIR3DL1	3811
ENSG00000275608	KIR3DS1	3813
ENSG00000278726	KIR3DL2	3812
ENSG00000274696	KIR3DL3	115653
ENSG00000274788	LILRP2	79166
ENSG00000275289	LILRP2	79166
ENSG00000275452	KIR2DS2	100132285
ENSG00000273881	LILRP1	
ENSG00000277940		
ENSG00000275737	KIR2DS2	100132285
ENSG00000278369	KIR2DL3	3804
ENSG00000274610	KIR3DP1	
ENSG00000278481	KIR2DL5B	553128
ENSG00000274009		
ENSG00000275269	FCAR	2204
ENSG00000274942	KIR2DP1	
ENSG00000278361	KIR3DL2	3812
ENSG00000277163	KIR2DS3	3808
ENSG00000273518	KIR3DL1	3811
ENSG00000278086		102725023
ENSG00000277963	LILRP2	79166
ENSG00000277540	KIR2DL4	3805
ENSG00000276590	KIR2DL3	3804
ENSG00000274556	KIR3DL3	115653
ENSG00000275750	KIR2DL1	3802
ENSG00000275521	NCR1	9437
ENSG00000278788	SBNO2	22904
ENSG00000276595	PTCHD3	374308
ENSG00000273517	KIR2DS1	3806
ENSG00000281935	DNAH10	196385
ENSG00000274707	KIR2DL5B	553128
ENSG00000278710	KIR3DL2	3812
ENSG00000276806	KIR3DL3	115653
ENSG00000275336		
ENSG00000276777	ODAD2P1	
ENSG00000273681	FAM210CP	
ENSG00000278364	TRIAP1P1	
ENSG00000273501	U6	
ENSG00000278036	U6	
ENSG00000274782	KIR2DL1	3802
ENSG00000273794	KIR2DL1	3802
ENSG00000273887	KIR2DL3	3804
ENSG00000273929	U6	
ENSG00000276450	NCR1	9437
ENSG00000278051	KIR3DP1	
ENSG00000278442	KIR3DL2	3812
ENSG00000278850	KIR3DL2	3812
ENSG00000275970	FCAR	2204
ENSG00000275037	KIR3DS1	3813
ENSG00000274851	KIR2DP1	
ENSG00000273688	KIR3DP1	
ENSG00000275253	KIR2DS2	100132285
ENSG00000278474	KIR3DL2	3812
ENSG00000281486	SNTG2	54221
ENSG00000275815	KIR2DP1	
ENSG00000277570	LILRP1	
ENSG00000275626	KIR3DL2	3812
ENSG00000276306		
ENSG00000278327	KIR2DL3	3804
ENSG00000274955	KIR2DL4	3805
ENSG00000274120	LILRP2	79166
ENSG00000262647	OR9G4	283189
ENSG00000275136	FCAR	2204
ENSG00000275795		
ENSG00000281107	OR5G3	
ENSG00000278339	KIR2DP1	
ENSG00000262268	OR9G3P	
ENSG00000281313	OR5G1P	
ENSG00000275937	KIR2DL5B	553128
ENSG00000281279	OR5G4P	
ENSG00000278079	KIR3DL1	3811
ENSG00000262535	OR5G5P	
ENSG00000276425	KIR2DS2	100132285
ENSG00000277885	KIR2DS2	100132285
ENSG00000275421	KIR2DS1	3806
ENSG00000262025		
ENSG00000276011	KIR2DL2	3803
ENSG00000263275		
ENSG00000281777	OR9G2P	
ENSG00000275172	KIR3DL3	115653
ENSG00000262299		343052
ENSG00000261958	OR9G1	390174
ENSG00000277175	KIR3DL1	3811
ENSG00000277552	KIR3DL3	115653
ENSG00000262767	GEMIN2P1	
ENSG00000281683		
ENSG00000277657	KIR2DS3	3808
ENSG00000262191	OR9G9	504191
ENSG00000261992	GATAD2B	57459
ENSG00000281839	LINC02735	101927120
ENSG00000275035	CCDC92	80212
ENSG00000275513	KIR3DL3	115653
ENSG00000273498	KIR2DL4	3805
ENSG00000282507		
ENSG00000274106		
ENSG00000277976	KRT18P40	
ENSG00000279974		
ENSG00000278780	ZNF430	80264
ENSG00000276324		
ENSG00000277240	LILRP1	
ENSG00000273955	KIR2DP1	
ENSG00000275021	U6	
ENSG00000276197		
ENSG00000274917	RNA5-8SN5	100008587
ENSG00000273730	5_8S_rRNA	
ENSG00000273937		
ENSG00000274449		
ENSG00000279318		
ENSG00000278091	ZNF85	7639
ENSG00000278329	KIR2DP1	
ENSG00000263130		
ENSG00000274108	KIR2DL3	3804
ENSG00000263163	SLC27A3	11000
ENSG00000277356	KIR2DL1	3802
ENSG00000274786	KIR3DL3	115653
ENSG00000273752	U6	
ENSG00000281954		
ENSG00000274438	KIR2DS2	100132285
ENSG00000278025	NCR1	9437
ENSG00000277193	KIR2DS3	3808
ENSG00000276254	KIR2DS4	3809
ENSG00000276392	KIR2DL5A	57292
ENSG00000273502	KIR3DL3	115653
ENSG00000276212	KIR3DP1	
ENSG00000276099	LILRP1	
ENSG00000273578	KIR2DL2	3803
ENSG00000276498	KIR3DS1	3813
ENSG00000274465	KIR3DS1	3813
ENSG00000278271	KIR2DL4	3805
ENSG00000277596	KIR3DL3	115653
ENSG00000275059		
ENSG00000276218	KIR2DL3	3804
ENSG00000274563	KIR2DS5	3810
ENSG00000275321		
ENSG00000280428	BNIP3P24	
ENSG00000278625	U6	
ENSG00000280030		
ENSG00000276552	U6	
ENSG00000277362	KIR2DL4	3805
ENSG00000275050	ZNF66	7617
ENSG00000274947	KIR2DS4	3809
ENSG00000276243	LILRP2	79166
ENSG00000278432		
ENSG00000276731	KIR2DL2	3803
ENSG00000277750	KIR2DL4	3805
ENSG00000277894	LILRP1	
ENSG00000276279	KIR2DP1	
ENSG00000274082		
ENSG00000275168	U6	
ENSG00000276177	KIR2DL5A	57292
ENSG00000275051	PIWIL1	9271
ENSG00000275262	KIR3DL2	3812
ENSG00000274394	KIR3DL3	115653
ENSG00000262994		
ENSG00000275629	KIR3DL2	3812
ENSG00000269823		
ENSG00000262710	Y_RNA	
ENSG00000262469	Y_RNA	
ENSG00000276295	Metazoa_SRP	
ENSG00000275531	Metazoa_SRP	
ENSG00000262573	KRTAP9-2	83899
ENSG00000263115	KRTAP9-10P	
ENSG00000278833		
ENSG00000262896	KRTAP9-4	85280
ENSG00000263263	KRTAP9-6	100507608
ENSG00000278277		
ENSG00000277850	KIR2DL4	3805
ENSG00000277630		100288966
ENSG00000276994		
ENSG00000262221	KRTAP9-7	100505724
ENSG00000278692	KIR2DL2	3803
ENSG00000262542	KRTAP29-1	100533177
ENSG00000262214	KRTAP9-12P	
ENSG00000262946	KRTAP9-11P	
ENSG00000262594	KRTAP9-9	81870
ENSG00000280579		
ENSG00000275735	KIR2DS2	100132285
ENSG00000273546	LILRP1	
ENSG00000275782	U6	
ENSG00000280708		
ENSG00000281416		
ENSG00000275974	PPIAL4F	728945
ENSG00000276512	LILRP2	79166
ENSG00000281763	DHX36	170506
ENSG00000280460		
ENSG00000274254	KIR3DL3	115653
ENSG00000282534	IMPDH1P5	
ENSG00000274574	U1	
ENSG00000273990	RNVU1-26	
ENSG00000273757	RNVU1-2A	6063
ENSG00000274429	DLG5	9231
ENSG00000273666	LILRP2	79166
ENSG00000274763	KIR3DL3	115653
ENSG00000274912	KIR2DP1	
ENSG00000278691	KIR3DP1	
ENSG00000277560	KIR3DP1	
ENSG00000276395	KIR2DS4	3809
ENSG00000275522	KIR2DL1	3802
ENSG00000275416	KIR3DL2	3812
ENSG00000276882	KIR3DL2	3812
ENSG00000276310	KIR2DL1	3802
ENSG00000276465	KIR2DS4	3809
ENSG00000274623	U6	
ENSG00000277392	KIR3DL3	115653
ENSG00000278793	U6	
ENSG00000278758	KIR3DL2	3812
ENSG00000277101	ARHGEF26	26084
ENSG00000281738	LINC01839	
ENSG00000274692	KIR2DL1	3802
ENSG00000281250	LINC02054	105374250
ENSG00000277153	RNU6-222P	
ENSG00000273670	LILRP1	
ENSG00000274476	KIR2DP1	
ENSG00000274971		
ENSG00000277456		
ENSG00000275731	KIR2DS4	3809
ENSG00000275353	KIR2DS4	3809
ENSG00000278606	KIR2DL4	3805
ENSG00000275623	KIR2DL3	3804
ENSG00000275062	KIR3DL3	115653
ENSG00000277442	NCR1	9437
ENSG00000277642	U6	
ENSG00000278809	KIR3DL2	3812
ENSG00000277028	KIR3DL3	115653
ENSG00000281775	FTCD	10841
ENSG00000281513		
ENSG00000281081		
ENSG00000281464		
ENSG00000280830	ADI1	55256
ENSG00000267728	KRTAP9-9	81870
ENSG00000281048		
ENSG00000274891	TRAPPC12	51112
ENSG00000263090	KRTAP9-2	83899
ENSG00000262512	KRTAP9-4	85280
ENSG00000262749	KRTAP9-3	83900
ENSG00000276808		
ENSG00000275495		
ENSG00000263103	KRTAP9-10P	
ENSG00000278190	U6	
ENSG00000267635		100507608
ENSG00000278368	KIR3DL1	3811
ENSG00000267208		
ENSG00000262218	KRTAP29-1	100533177
ENSG00000276084	KIR3DL3	115653
ENSG00000281157	ARHGEF26-AS1	100507524
ENSG00000280770		
ENSG00000281723		
ENSG00000281020	SNTG2	54221
ENSG00000281753		
ENSG00000280541	FTCD-AS1	100861507
ENSG00000277982	KIR3DL2	3812
ENSG00000278116	KIR2DL5A	57292
ENSG00000281289	LSS	4047
ENSG00000275500		102725023
ENSG00000276327	KIR2DS1	3806
ENSG00000275637	NCR1	9437
ENSG00000278495	KIR2DL1	3802
ENSG00000277603	TPO	7173
ENSG00000274597	U6	
ENSG00000281149		
ENSG00000274708	U6	
ENSG00000280986	LINC01659	101929374
ENSG00000274681	SUDS3P1	
ENSG00000281076	ZDHHC8P1	
ENSG00000280635	PROP1	5626
ENSG00000282469	LINC00254	64735
ENSG00000276333	HS3ST6	64711
ENSG00000282480		
ENSG00000282766		
ENSG00000282650	MEIOB	254528
ENSG00000280839	CES5AP1	
ENSG00000282069	LINC02124	105371048
ENSG00000278140	U6	
ENSG00000263057	KRT20	54474
ENSG00000281651	KCNQ2-AS1	
ENSG00000275351	KIR2DS4	3809
ENSG00000282103	DLGAP2	9228
ENSG00000281374		
ENSG00000274657	FAM230I	388882
ENSG00000282347		
ENSG00000282245		401442
ENSG00000276625	KIR2DL1	3802
ENSG00000281151	KCNQ2	3785
ENSG00000281351	SUDS3P1	
ENSG00000282665	ERICH1	157697
ENSG00000277833	KIR2DL1	3802
ENSG00000262068	KRTAP3-1	83896
ENSG00000280559		
ENSG00000263296	KRTAP3-2	83897
ENSG00000277428	Y_RNA	
ENSG00000280647		
ENSG00000282352	ZNF965P	
ENSG00000282037	GXYLT1P1	
ENSG00000274382	PROP1	5626
ENSG00000262121	KRTAP4-9	100132386
ENSG00000282782	CYP4F34P	
ENSG00000281077	LINC02557	
ENSG00000282611	CNN2P12	
ENSG00000282677	SNX18P26	
ENSG00000276256		389831
ENSG00000282536	LINC00328-2P	
ENSG00000278573		
ENSG00000282715	ANKRD20A9P	
ENSG00000263091	KRTAP2-4	85294
ENSG00000281644		
ENSG00000278853	RNU6-55P	
ENSG00000252379	U6	
ENSG00000276459	KIR2DL3	3804
ENSG00000264450		
ENSG00000277196		102724788
ENSG00000278248	KIR2DL1	3802
ENSG00000263309	KRT23	25984
ENSG00000281104		
ENSG00000276582	ABCB11	8647
ENSG00000281870		
ENSG00000278666		
ENSG00000280892		
ENSG00000274679	SPATC1L	84221
ENSG00000278373	G6PC2	57818
ENSG00000281919	SLC45A2	51151
ENSG00000277691		
ENSG00000277375	KIR2DP1	
ENSG00000277069	RXFP3	51289
ENSG00000275008	KIR2DL3	3804
ENSG00000281690	ADAMTS12	81792
ENSG00000263270		
ENSG00000275599	KIR2DS3	3808
ENSG00000275317	KIR2DL4	3805
ENSG00000281254		
ENSG00000281173	ABCB10P1	
ENSG00000277091	U6	
ENSG00000278508	GOLGA8DP	100132979
ENSG00000280971		
ENSG00000277909	SPC25	57405
ENSG00000280737	LINC02549	101928280
ENSG00000274283	KIR3DS1	3813
ENSG00000275671	U6	
ENSG00000274402	KIR2DL3	3804
ENSG00000262679	APOBEC3B-AS1	100874530
ENSG00000278817		102724770
ENSG00000262536		
ENSG00000262156	APOBEC3A	200315
ENSG00000262156	APOBEC3A	100913187
ENSG00000279389	GARRE1	9710
ENSG00000276017		
ENSG00000282233		
ENSG00000275255	KIR3DP1	
ENSG00000282770	DLG5-AS1	
ENSG00000280807	TUBGCP5	114791
ENSG00000273528	LILRP2	79166
ENSG00000282690		
ENSG00000276516	RN7SL284P	
ENSG00000282753		
ENSG00000276274	RNU6-1266P	
ENSG00000282649	SEPTIN9-DT	105371907
ENSG00000282302	SEPTIN9	10801
ENSG00000276357	KIR3DL2	3812
ENSG00000262453		
ENSG00000262860	LSM14A	26065
ENSG00000275486	KIR3DL1	3811
ENSG00000262845	KRT40	125115
ENSG00000278247	GOLGA6L1	283767
ENSG00000277354	CRIM1	51232
ENSG00000280500	ELMO2P1	
ENSG00000278476	RPL21P36	
ENSG00000279215	CRIM1-DT	
ENSG00000278070	GOLGA8DP	100132979
ENSG00000275326	NOSTRIN	115677
ENSG00000281737	MPHOSPH10P5	
ENSG00000281725	ELMO2P1	
ENSG00000277567	U6	
ENSG00000262808	KRTAP1-1	81851
ENSG00000281754		
ENSG00000262731		728279
ENSG00000280679		
ENSG00000280490		
ENSG00000277046	Metazoa_SRP	
ENSG00000281914		
ENSG00000263229	KRTAP4-11	653240
ENSG00000262487		
ENSG00000262376	KRTAP2-5P	
ENSG00000280618	CYFIP1	23191
ENSG00000262347	KRTAP1-3	81850
ENSG00000262520	KRTAP4-16	85354
ENSG00000263243	KRT12	3859
ENSG00000282734		286083
ENSG00000281997		
ENSG00000282141		
ENSG00000281232		
ENSG00000282001	DLGAP2-AS1	100507435
ENSG00000262113		
ENSG00000282152	DLGAP2	9228
ENSG00000261862	KRTAP1-5	83895
ENSG00000262164	KRT39	390792
ENSG00000281999		
ENSG00000282429		
ENSG00000282044		
ENSG00000281062		
ENSG00000281953		
ENSG00000281496		
ENSG00000281617	ANKRD18DP	348840
ENSG00000278728	CNTNAP2	26047
ENSG00000278229	RPS17	6218
ENSG00000274404	GOLGA6L22	440243
ENSG00000281567	SLC25A51P1	
ENSG00000277364	ADH5P4	
ENSG00000261846	AADACL2	344752
ENSG00000262892		
ENSG00000262616	KRTAP3-4P	
ENSG00000281537		
ENSG00000278429	GOLGA8EP	390535
ENSG00000261852	KRTAP2-1	81872
ENSG00000278633		
ENSG00000262634	SKA1	220134
ENSG00000278066		
ENSG00000276938		
ENSG00000275031	METRNL	284207
ENSG00000267237		
ENSG00000263101	KRTAP3-3	85293
ENSG00000281577		
ENSG00000277271	LILRP2	79166
ENSG00000267639		
ENSG00000262411	LINC02066	
ENSG00000281503		
ENSG00000262862	KRTAP2-3	730755
ENSG00000280271		
ENSG00000262466	AADACL2-AS1	
ENSG00000274706	RNU6-821P	
ENSG00000278747	U6	
ENSG00000279566	ZNF43	7594
ENSG00000263236	KRTAP4-12	83755
ENSG00000274639	KIR3DL3	115653
ENSG00000279614		
ENSG00000263242	KRTAP1-4	728255
ENSG00000280787	HERC2P2	
ENSG00000263141	PAXBP1	94104
ENSG00000275247		
ENSG00000266286		100996750
ENSG00000277729		
ENSG00000274746	ZNF100	163227
ENSG00000278304	KIR2DS1	3806
ENSG00000261968	KRTAP4-8	728224
ENSG00000281945		
ENSG00000262938	C21orf62	56245
ENSG00000280716	FRG1-DT	728339
ENSG00000275083	KIR3DL2	3812
ENSG00000276686	KIR2DL5A	57292
ENSG00000279280	CCNYL6	641367
ENSG00000281828	HERC2P7	
ENSG00000276999		
ENSG00000281846	SPATA31E3P	
ENSG00000281422		
ENSG00000277205	U3	
ENSG00000281830	LINC01596	105377617
ENSG00000281356	GOLGA8IP	283796
ENSG00000263140	C21orf62-AS1	
ENSG00000281012		
ENSG00000278063	U6	
ENSG00000274906	Metazoa_SRP	
ENSG00000275009	GOLGA6L1	283767
ENSG00000281916		
ENSG00000276052	RNU1-51P	
ENSG00000282596	DNM1P38	
ENSG00000281758	KCNIP4	80333
ENSG00000279112	BRI3BPP1	641367
ENSG00000280218	VN1R84P	
ENSG00000281559		
ENSG00000280066	MTDHP4	
ENSG00000282110	MAPK4	5596
ENSG00000281703		
ENSG00000280838		105374516
ENSG00000278019		
ENSG00000277445	CPEB1	64506
ENSG00000282464		
ENSG00000278201	KIR2DL4	3805
ENSG00000278759	TBCD	6904
ENSG00000280619		107987420
ENSG00000280619		107987434
ENSG00000282085		
ENSG00000280072		
ENSG00000281470		
ENSG00000282443		
ENSG00000262132	RNA5SP458	
ENSG00000273831	LRRC56	115399
ENSG00000281380		
ENSG00000280700	MPHOSPH10P9	
ENSG00000282606	CTDP1-DT	284241
ENSG00000276062	Metazoa_SRP	
ENSG00000276377	Metazoa_SRP	
ENSG00000280461	ABCB10P1	
ENSG00000281949		
ENSG00000282330		
ENSG00000277400		
ENSG00000262159	RPS6P22	
ENSG00000262592	LRIG3-DT	
ENSG00000281995		
ENSG00000275987	U1	
ENSG00000262036		
ENSG00000274847	MAFIP	727764
ENSG00000273772	SMN2	6606
ENSG00000273772	SMN2	6607
ENSG00000268674		
ENSG00000276856	TUBGCP5	114791
ENSG00000277475		
ENSG00000275405	U1	
ENSG00000281942		
ENSG00000282752	CTDP1	9150
ENSG00000274296	DECR2	26063
ENSG00000282329	MREGP1	
ENSG00000275428		
ENSG00000275245		
ENSG00000276154	KIR2DS4	3809
ENSG00000280759	AP2A2	161
ENSG00000273748		
ENSG00000275225		
ENSG00000278856	KIR3DL1	3811
ENSG00000276374		
ENSG00000278688		
ENSG00000260873	SNTB2	6645
ENSG00000263127	RPL4P5	
ENSG00000282391		
ENSG00000274780	PHRF1	57661
ENSG00000262788	UTP4	84916
ENSG00000276371	SINHCAF	58516
ENSG00000281122	MAD2L1-DT	
ENSG00000262473	GART	2618
ENSG00000276016	ABR	29
ENSG00000277848	MEGF11	84465
ENSG00000281612		
ENSG00000280626		
ENSG00000262148	RPS5P3	
ENSG00000280578		
ENSG00000280504		
ENSG00000262911	DNAJC28	54943
ENSG00000278216	UGT2A3	79799
ENSG00000282388		
ENSG00000282551		
ENSG00000282176	FLJ13224	79857
ENSG00000277033	B3GNTL1	146712
ENSG00000262795	IFNGR2	3460
ENSG00000277518	MUC6	4588
ENSG00000281308	UGT2B27P	101929773
ENSG00000262354	Y_RNA	
ENSG00000262579	U6	
ENSG00000281425		
ENSG00000281915	MUC20-OT1	
ENSG00000280638	CDH12P2	
ENSG00000280525		
ENSG00000280840	PMCHL2	5370
ENSG00000280794		
ENSG00000281547	UGT2B29P	
ENSG00000275190	UGT2B10	7365
ENSG00000278230	U6	
ENSG00000282201		
ENSG00000275517	PRB1	5542
ENSG00000275517	PRB1	653247
ENSG00000278562		
ENSG00000275338	RAB11FIP3	9727
ENSG00000276910	GTF2H2	2966
ENSG00000276910	GTF2H2	728340
ENSG00000281154		
ENSG00000274980	RNU6-1025P	
ENSG00000281510		
ENSG00000277132	UGT2B15	7366
ENSG00000280909	SDHAP2	
ENSG00000277389	KRTAP5-6	440023
ENSG00000280585	KRTAP5-1	387264
ENSG00000278620	KRTAP5-4	387267
ENSG00000280629		
ENSG00000280740		
ENSG00000280720		
ENSG00000281798		
ENSG00000278302	KRTAP5-5	439915
ENSG00000278061	MT2P1	
ENSG00000281704		
ENSG00000281261	FAM99A	387742
ENSG00000277844	DIS3L-AS1	
ENSG00000282280		
ENSG00000274058	TMPRSS11E	28983
ENSG00000281633	LINC02708	
ENSG00000281176	KRTAP5-AS1	338651
ENSG00000280993	MUC20-OT1	
ENSG00000263160	TMEM50B	757
ENSG00000272765	NDUFA6	4700
ENSG00000281111		
ENSG00000278165	DUSP8	1850
ENSG00000280784		
ENSG00000280557	GNG5P1	
ENSG00000280765		101929297
ENSG00000280898		
ENSG00000262024	TCF20	6942
ENSG00000281829	FAM99B	100132464
ENSG00000281618	IFITM10	402778
ENSG00000281191	KRTAP5-3	387266
ENSG00000281533	KRTAP5-2	440021
ENSG00000280476	MPHOSPH10P5	
ENSG00000281687	SDHAP2	
ENSG00000274040	Metazoa_SRP	
ENSG00000281174		
ENSG00000281127		
ENSG00000281890		
ENSG00000281060	MUC20-OT1	
ENSG00000272901	SMDT1	91689
ENSG00000282378		
ENSG00000275272	YTHDC1	91746
ENSG00000282485	LINC00235	
ENSG00000282214	CAPN15	6650
ENSG00000275456	KIR2DL4	3805
ENSG00000274018	Y_RNA	
ENSG00000273616	NDUFA6-DT	
ENSG00000272813	OLA1P1	
ENSG00000262303		
ENSG00000263314		
ENSG00000263181	CYP2D7	
ENSG00000281019	LINC02982	100506688
ENSG00000276920	NKD2	85409
ENSG00000282457	CSPG4P10	
ENSG00000282814		
ENSG00000274320	GOLGA6L9	440295
ENSG00000278489	KRTAP5-2	440021
ENSG00000281240	LINC02708	
ENSG00000281783	FAM99B	100132464
ENSG00000281733	FAM99A	387742
ENSG00000282209	GOLGA6L17P	
ENSG00000275920	KRTAP5-3	387266
ENSG00000277068	KRTAP5-4	387267
ENSG00000278210	KRTAP5-1	387264
ENSG00000281645		
ENSG00000282755		
ENSG00000277291	KRTAP5-5	439915
ENSG00000281801	KRTAP5-AS1	338651
ENSG00000282514		
ENSG00000262055	CYP2D8P	
ENSG00000282183	GOLGA2P10	
ENSG00000278411	U6	
ENSG00000273793	DUSP8	1850
ENSG00000276482	SLC12A7	10723
ENSG00000275873	LMNTD2	256329
ENSG00000276228	UBE2Q2P6	
ENSG00000278501	TIMM22	29928
ENSG00000281976	ADAMTS7P1	
ENSG00000276565		
ENSG00000281300	NXN	64359
ENSG00000277374	U1	
ENSG00000275991	Metazoa_SRP	
ENSG00000273984	MUC4	4585
ENSG00000274042	GOLGA6L10	647042
ENSG00000282377		
